PHÂN HỆ,STT,DANH MỤC LỚN,HẠNG MỤC CHI PHÍ CHI TIẾT,ĐƠN VỊ TÍNH,SỐ LƯỢNG,ĐƠN GIÁ (VNĐ),THÀNH TIỀN (VNĐ),THÀNH TIỀN NĂM 2027 (VNĐ / NẾU CÓ),GHI CHÚ & CĂN CỨ TÍNH TOÁN
CAPEX,1.1,1. Phát triển sản phẩm/công nghệ,Chi phí lập trình xây dựng nền tảng (web + app di động cho tài xế),Gói MVP,1,50000000,50000000,,Xây dựng Web Điều phối + App di động Flutter cho tài xế (Android/iOS) trong 3-4 tháng MVP
CAPEX,1.2,1. Phát triển sản phẩm/công nghệ,Chi phí thiết kế UI/UX,Gói thiết kế,1,12000000,12000000,,"Hệ thống thiết kế Figma hoàn chỉnh: Web Portal Dispatcher, Mobile Driver App, Dashboard Báo cáo"
CAPEX,1.3,1. Phát triển sản phẩm/công nghệ,Chi phí xây dựng thuật toán tối ưu tuyến (VRP) ban đầu,Module Core,1,25000000,25000000,,"Thuật toán tối ưu hóa tuyến đường đa điểm kết hợp ràng buộc tải trọng, khung giờ (VRPTW)"
CAPEX,1.4,1. Phát triển sản phẩm/công nghệ,Chi phí tích hợp API bản đồ/GPS/giao thông lần đầu (setup fee nếu có),Lần tích hợp,1,5000000,5000000,,"Setup fee, SDK integration, Webhook kết nối dữ liệu GPS và bản đồ số"
CAPEX,1.5,1. Phát triển sản phẩm/công nghệ,"Chi phí xây dựng dashboard phân tích, báo cáo CO₂",Module Dashboard,1,15000000,15000000,,"Dashboard phân tích phát thải theo chuẩn GLEC / GHG Protocol Scope 3, trực quan hóa biểu đồ"
CAPEX,1.6,1. Phát triển sản phẩm/công nghệ,Chi phí kiểm thử (QA/testing) trước khi ra mắt,Gói QA/QC,1,8000000,8000000,,"Kiểm thử chức năng (Manual), kiểm thử tải (Load/Stress Testing 500 CCU tài xế)"
CAPEX,T1,1. Phát triển sản phẩm/công nghệ,TỔNG NHÓM 1: PHÁT TRIỂN SẢN PHẨM / CÔNG NGHỆ,,,,115000000,,
CAPEX,2.1,2. Hạ tầng kỹ thuật,Mua/thiết lập server (nếu không dùng cloud pay-as-you-go),Gói setup,1,4000000,4000000,,"Khởi tạo cụm Docker/K8s, cấu hình CI/CD pipeline, VPC mạng riêng an toàn"
CAPEX,2.2,2. Hạ tầng kỹ thuật,Thiết lập cơ sở dữ liệu ban đầu,Gói CSDL,1,3000000,3000000,,Thiết lập PostgreSQL + PostGIS (xử lý GIS spatial queries) + Redis Cache
CAPEX,2.3,2. Hạ tầng kỹ thuật,"Thiết lập hệ thống bảo mật, mã hóa dữ liệu",Gói bảo mật,1,5000000,5000000,,"Mã hóa dữ liệu cá nhân theo NĐ 13/2023/NĐ-CP, SSL EV Wildcard, Cloudflare WAF setup"
CAPEX,T2,2. Hạ tầng kỹ thuật,TỔNG NHÓM 2: HẠ TẦNG KỸ THUẬT,,,,12000000,,
CAPEX,3.1,3. Pháp lý & hành chính,Chi phí mở tài khoản ngân hàng doanh nghiệp,Tài khoản,1,0,0,,Mở tài khoản thanh toán doanh nghiệp tại ngân hàng thương mại
CAPEX,3.2,3. Pháp lý & hành chính,Chi phí khởi tạo và cài đặt phần mềm hóa đơn điện tử,Lần,1,2000000,2000000,,Khởi tạo hệ thống hóa đơn điện tử MISA/Viettel
CAPEX,3.3,3. Pháp lý & hành chính,Phí cung cấp thông tin doanh nghiệp,Lần,1,4810000,4810000,,"Phí dịch vụ đăng ký thành lập doanh nghiệp, khắc dấu và bố cáo điện tử"
CAPEX,3.4,3. Pháp lý & hành chính,Chi phí mua chữ ký số khai thuế,Gói (3 năm),1,3608000,3608000,,Chữ ký số VINA-CA (Gói 3 năm) phục vụ kê khai thuế và BHXH
CAPEX,3.5,3. Pháp lý & hành chính,Chi phí khắc con dấu và đăng cáo mẫu dấu,Bộ,1,450000,450000,,Khắc dấu tròn pháp nhân doanh nghiệp + dấu chức danh
CAPEX,3.6,3. Pháp lý & hành chính,Chi phí làm biển hiệu,Cái,1,1000000,1000000,,Biển hiệu mica công ty theo quy định treo tại trụ sở
CAPEX,3.7,3. Pháp lý & hành chính,Phí sử dụng hóa đơn điện tử,"Hóa đơn (1,000 số)",1000,1000,1000000,,"1,000 số hóa đơn điện tử MISA @ 1,000 đ/số"
CAPEX,3.8,3. Pháp lý & hành chính,Chi phí soạn thảo hợp đồng với đối tác dữ liệu bản đồ/GPS,Hợp đồng/Lần,1,5000000,5000000,,"Tư vấn và soạn thảo hợp đồng thương mại dịch vụ API, cam kết SLA và bảo mật"
CAPEX,3.9,3. Pháp lý & hành chính,"Phí dịch vụ đăng ký logo độc quyền, bản quyền thương hiệu, nhãn hiệu",Lần,1,1000000,1000000,,Phí dịch vụ đại diện sở hữu trí tuệ
CAPEX,3.10,3. Pháp lý & hành chính,Lệ phí nộp nhà nước đăng ký độc quyền thương hiệu,Hồ sơ,1,1000000,1000000,,"Lệ phí nộp đơn (150k), công bố (120k), tra cứu (180k), thẩm định (550k)"
CAPEX,3.11,3. Pháp lý & hành chính,Tư vấn pháp lý ban đầu,Gói tư vấn,1,1990000,1990000,,"Tư vấn Điều khoản sử dụng (Terms of Service), Chính sách bảo mật (Privacy Policy) cho SaaS"
CAPEX,T3,3. Pháp lý & hành chính,TỔNG NHÓM 3: PHÁP LÝ & HÀNH CHÍNH,,,,21858000,,
CAPEX,4.1,4. Thiết bị & tài sản cố định,"Laptop, thiết bị làm việc cho đội ngũ",Bộ thiết bị,2,12500000,25000000,,2 Laptop chuyên dụng dev/test phục vụ build môi trường và phân tích dữ liệu
CAPEX,4.2,4. Thiết bị & tài sản cố định,Thiết bị demo (nếu cần trình diễn cho khách hàng pilot),Chiếc,2,4000000,8000000,,2 Smartphone/Tablet cấu hình chuẩn test app tài xế onsite tại bưu cục pilot
CAPEX,T4,4. Thiết bị & tài sản cố định,TỔNG NHÓM 4: THIẾT BỊ & TÀI SẢN CỐ ĐỊNH,,,,33000000,,
CAPEX,5.1,5. Nghiên cứu & phát triển ban đầu,"Chi phí khảo sát thị trường, phỏng vấn doanh nghiệp (trước khi build)",Đợt khảo sát,1,5000000,5000000,,"Chi phí đi lại, khảo sát thực tế và phỏng vấn 15-20 chủ bưu cục/quản lý vận tải TP.HCM"
CAPEX,5.2,5. Nghiên cứu & phát triển ban đầu,Chi phí thuê chuyên gia tư vấn thiết kế hệ thống (one-time),Hợp đồng tư vấn,1,10000000,10000000,,Tư vấn từ chuyên gia Logistics VLA và chuyên gia giải thuật VRP
CAPEX,T5,5. Nghiên cứu & phát triển ban đầu,TỔNG NHÓM 5: NGHIÊN CỨU & PHÁT TRIỂN BAN ĐẦU,,,,15000000,,
